[ 01:27:44.012 -->  01:27:49.699] JG SPEAKER_07
[ 01:27:51.285 -->  01:28:05.663] JH SPEAKER_07
[ 01:28:07.064 -->  01:28:13.746] JI SPEAKER_07
[ 01:28:14.759 -->  01:28:17.273] JJ SPEAKER_07
[ 01:28:18.218 -->  01:28:21.846] JK SPEAKER_07
[ 01:28:22.251 -->  01:29:17.010] GL SPEAKER_05
[ 01:28:25.154 -->  01:28:26.824] MO SPEAKER_12
[ 01:29:16.926 -->  01:29:23.710] AZ SPEAKER_02
[ 01:29:24.587 -->  01:29:29.633] BA SPEAKER_02
[ 01:29:30.089 -->  01:29:58.692] GM SPEAKER_05
[ 01:29:58.169 -->  01:30:03.265] DT SPEAKER_04
[ 01:30:04.092 -->  01:30:06.100] DU SPEAKER_04
[ 01:30:06.825 -->  01:30:18.773] DV SPEAKER_04
[ 01:30:19.600 -->  01:30:27.919] DW SPEAKER_04
[ 01:30:29.067 -->  01:30:35.597] DX SPEAKER_04
[ 01:30:36.694 -->  01:30:58.480] DY SPEAKER_04
[ 01:30:59.290 -->  01:31:13.313] DZ SPEAKER_04
[ 01:31:14.123 -->  01:32:23.783] EA SPEAKER_04
[ 01:32:22.652 -->  01:33:55.296] GN SPEAKER_05
[ 01:33:54.452 -->  01:33:59.852] BB SPEAKER_02
[ 01:33:58.097 -->  01:34:06.737] EB SPEAKER_04
[ 01:34:07.514 -->  01:34:55.337] EC SPEAKER_04
[ 01:34:55.995 -->  01:35:05.175] ED SPEAKER_04
[ 01:35:06.036 -->  01:35:11.267] EE SPEAKER_04
[ 01:35:12.398 -->  01:35:46.789] EF SPEAKER_04
[ 01:35:47.970 -->  01:35:49.641] JW SPEAKER_08
[ 01:35:49.911 -->  01:36:40.435] G SPEAKER_00
[ 01:35:56.644 -->  01:35:56.661] L SPEAKER_01
[ 01:36:40.806 -->  01:36:41.144] KS SPEAKER_09
[ 01:36:42.325 -->  01:36:43.017] KT SPEAKER_09
